Characteristic,Cohort,Value,Category,N,Percentage
N,Training,992,,,
N,Validation,490,,,
age,Training,493 (49.7%),＞60,493.0,49.7%
age,Training,311 (31.4%),45-59,311.0,31.4%
age,Training,188 (19.0%),＜45,188.0,19.0%
age,Validation,254 (51.8%),＞60,254.0,51.8%
age,Validation,157 (32.0%),45-59,157.0,32.0%
age,Validation,79 (16.1%),＜45,79.0,16.1%
sex,Training,569 (57.4%),女,569.0,57.4%
sex,Training,423 (42.6%),男,423.0,42.6%
sex,Validation,264 (53.9%),女,264.0,53.9%
sex,Validation,226 (46.1%),男,226.0,46.1%
T,Training,266 (26.8%),T1,266.0,26.8%
T,Training,207 (20.9%),T2,207.0,20.9%
T,Training,182 (18.3%),T3,182.0,18.3%
T,Training,175 (17.6%),T4A,175.0,17.6%
T,Training,77 (7.8%),T4B,77.0,7.8%
T,Training,72 (7.3%),TX,72.0,7.3%
T,Training,9 (0.9%),T4,9.0,0.9%
T,Training,2 (0.2%),T0,2.0,0.2%
T,Training,2 (0.2%),T4NOS,2.0,0.2%
T,Validation,114 (23.3%),T2,114.0,23.3%
T,Validation,110 (22.4%),T1,110.0,22.4%
T,Validation,92 (18.8%),T4A,92.0,18.8%
T,Validation,90 (18.4%),T3,90.0,18.4%
T,Validation,43 (8.8%),T4B,43.0,8.8%
T,Validation,38 (7.8%),TX,38.0,7.8%
T,Validation,2 (0.4%),T4,2.0,0.4%
T,Validation,1 (0.2%),T0,1.0,0.2%
T,Validation,0 (0.0%),T4NOS,0.0,0.0%
N,Training,805 (81.1%),N0,805.0,81.1%
N,Training,57 (5.7%),N1,57.0,5.7%
N,Training,50 (5.0%),NX,50.0,5.0%
N,Training,48 (4.8%),N2B,48.0,4.8%
N,Training,15 (1.5%),N3B,15.0,1.5%
N,Training,7 (0.7%),N2A,7.0,0.7%
N,Training,5 (0.5%),N2C,5.0,0.5%
N,Training,3 (0.3%),N2,3.0,0.3%
N,Training,2 (0.2%),N3,2.0,0.2%
N,Training,0 (0.0%),N2NOS,0.0,0.0%
N,Validation,402 (82.0%),N0,402.0,82.0%
N,Validation,29 (5.9%),N1,29.0,5.9%
N,Validation,27 (5.5%),NX,27.0,5.5%
N,Validation,23 (4.7%),N2B,23.0,4.7%
N,Validation,5 (1.0%),N3B,5.0,1.0%
N,Validation,3 (0.6%),N2A,3.0,0.6%
N,Validation,1 (0.2%),N2NOS,1.0,0.2%
N,Validation,0 (0.0%),N2,0.0,0.0%
N,Validation,0 (0.0%),N2C,0.0,0.0%
N,Validation,0 (0.0%),N3,0.0,0.0%
M,Training,899 (90.6%),M0,899.0,90.6%
M,Training,90 (9.1%),M1,90.0,9.1%
M,Training,3 (0.3%),MX,3.0,0.3%
M,Validation,434 (88.6%),M0,434.0,88.6%
M,Validation,51 (10.4%),M1,51.0,10.4%
M,Validation,5 (1.0%),MX,5.0,1.0%
grade,Training,710 (71.6%),不明,710.0,71.6%
grade,Training,123 (12.4%),2中分化,123.0,12.4%
grade,Training,62 (6.2%),1分化好,62.0,6.2%
grade,Training,59 (5.9%),3分化差,59.0,5.9%
grade,Training,38 (3.8%),4未分化间变性,38.0,3.8%
grade,Validation,349 (71.2%),不明,349.0,71.2%
grade,Validation,64 (13.1%),2中分化,64.0,13.1%
grade,Validation,32 (6.5%),3分化差,32.0,6.5%
grade,Validation,30 (6.1%),1分化好,30.0,6.1%
grade,Validation,15 (3.1%),4未分化间变性,15.0,3.1%
radiotherapy,Training,690 (69.6%),Yes,690.0,69.6%
radiotherapy,Training,302 (30.4%),No/Unknow,302.0,30.4%
radiotherapy,Validation,334 (68.2%),Yes,334.0,68.2%
radiotherapy,Validation,156 (31.8%),No/Unknow,156.0,31.8%
chemotherapy,Training,882 (88.9%),No/Unknown,882.0,88.9%
chemotherapy,Training,110 (11.1%),Yes,110.0,11.1%
chemotherapy,Validation,424 (86.5%),No/Unknown,424.0,86.5%
chemotherapy,Validation,66 (13.5%),Yes,66.0,13.5%
