Variable,Coefficient,HR,SE,Coef_Lower,Coef_Upper,HR_Lower,HR_Upper,Comparison,Z,P_Value,Log2P
M_M1,0.9996194546234721,2.7172475956758584,0.15656509342553415,0.6927575102732764,1.3064813989736679,1.9992208112498737,3.693156080938481,0.0,6.384689158691132,1.7174596885872657e-10,32.43900471169794
M_MX,0.966430394080244,2.6285448236745492,0.7330658162330199,-0.47035220403393285,2.4032129921944207,0.624782178723085,11.058650719179003,0.0,1.3183405537123618,0.1873896710943611,2.415886660949063
T_T1,-0.6533529495238362,0.52029831483534,0.3548911105550728,-1.3489267446452016,0.042220845597529144,0.2595186410036922,1.0431248228393855,0.0,-1.840995533818668,0.06562221319659457,3.9296719382849363
T_T2,-0.16663102594976403,0.8465118946437667,0.3550460490104711,-0.8625084948635302,0.5292464429640023,0.4221019126787914,1.6976525484703981,0.0,-0.4693222933030011,0.6388392826390128,0.6464750671632082
T_T3,0.14529905291508838,1.1563853389704601,0.35472120469662516,-0.5499417328429572,0.840539838673134,0.5769834285851031,2.317617778841615,0.0,0.4096147932271351,0.682088543413994,0.5519690640649902
T_T4,0.9450532321088523,2.572950338515452,0.561699696693657,-0.1558579435377876,2.045964407755492,0.8556807367158333,7.736616193879877,0.0,1.6824884144886245,0.09247416961819406,3.434805749203418
T_T4A,0.2743789721504473,1.315713326478064,0.3545923516699693,-0.4206092663160537,0.9693672106169484,0.6566466252445886,2.6362757241418393,0.0,0.7737870567660208,0.4390567278653452,1.1875207411798154
T_T4B,0.6864639998252341,1.9866782041001243,0.36897718833929466,-0.03671800043663587,1.409646000087104,0.9639479299196203,4.094505692828876,0.0,1.8604510563780245,0.0628217369144895,3.9925923581621308
T_T4NOS,0.030636907550064076,1.0311110472731417,0.7942742137563151,-1.526111945261182,1.5873857603613102,0.21737920864822646,4.890946095627851,0.0,0.03857220468630691,0.9692314632420738,0.04508685649663202
T_TX,0.0914263202541168,1.0957360401652598,0.38607399266211134,-0.6652648007312025,0.8481174412394361,0.5141373657291484,2.3352464725342474,0.0,0.23681035757861146,0.8128039158982938,0.29902074219480296
age_＜45,-0.10651606259234253,0.8989606084074769,0.16949782619445172,-0.4387256973912977,0.22569357220661262,0.644857641505162,1.2531915937013398,0.0,-0.6284214080134863,0.5297279165403915,0.9166765545489867
age_＞60,0.8505151134775241,2.3408523460085338,0.12016585907124944,0.6149943575265594,1.0860358694284886,1.8496461629495342,2.962507000298717,0.0,7.077843241425435,1.4641520800083342e-12,39.313071725956206
chemotherapy_Yes,0.73166928488742,2.078547401100607,0.15011946866444273,0.43744053292682306,1.0258980368480168,1.548738196967961,2.7895994991795656,0.0,4.873913366446141,1.0940898413520588e-06,19.801837359208957
N_N1,0.5046305576798878,1.656373472950867,0.19449893020219314,0.12341965945201955,0.8858414559077561,1.1313591068801343,2.4250240840514965,0.0,2.5945158523766407,0.00947242452705817,6.7220505447681855
N_N2,1.4130066977861813,4.108289236879069,0.6462131226435133,0.1464522510677304,2.679561144504632,1.1577196496215207,14.578693951833795,0.0,2.186595487268793,0.028772067080782407,5.119187316974656
N_N2A,-0.28168128055739283,0.754514124535813,0.9681319031578027,-2.1791849430309056,1.6158223819161202,0.11313370348575273,5.0320244682499675,0.0,-0.29095341206980097,0.7710869505204062,0.37503454212497545
N_N2B,0.8696994746918241,2.386193634181113,0.19133900530303088,0.4946819154601651,1.244717033923483,1.6399765049117554,3.4719522156281433,0.0,4.545332893909675,5.484849772740315e-06,17.47611646284167
N_N2C,0.6104775365607119,1.8413104819425068,0.5200178631319999,-0.40873874649548714,1.6296938196169108,0.6644878094163335,5.10231225143076,0.0,1.173954934709137,0.24041307677690762,2.056412724262129
N_N3,0.45625165881423957,1.578147449512767,0.7403831943141763,-0.9948727368002666,1.9073760544287457,0.3697704997267612,6.735392288579057,0.0,0.6162371894960009,0.5377379867762221,0.8950247051078546
N_N3B,1.2438111862704504,3.4688085799046573,0.4246349062289263,0.41154206348321176,2.076080309057689,1.5091431862924423,7.973155279971213,0.0,2.929130808666717,0.0033991134253967136,8.200625780526813
N_NX,0.1467555757256347,1.1580708678020657,0.2587695531985928,-0.3604234288391287,0.6539345802903981,0.697380972329254,1.923092524839699,0.0,0.5671284504363892,0.5706269147495358,0.8093802987915539
grade_2中分化,0.21161131847010628,1.2356675105897497,0.2487488485316024,-0.27592746584764355,0.6991501027878562,0.7588679726101542,2.012041951744688,0.0,0.850702705637739,0.39493451983838046,1.3403146206745935
grade_3分化差,0.519385180830644,1.6809938246967449,0.267885129606003,-0.005660025190966533,1.0444303868522544,0.9943559625736758,2.841779347664162,0.0,1.9388354314199496,0.052521380259597496,4.250951359082564
grade_4未分化间变性,1.0537736787719234,2.8684553484507886,0.2892758475971139,0.48680343588428265,1.6207439216595643,1.6271067471439666,5.0568508184840795,0.0,3.6427986903336516,0.00026968975218746405,11.85641167721663
grade_不明,0.30613251627851645,1.3581622732334417,0.21576763553919817,-0.11676427840767656,0.7290293109647095,0.8897949123183466,2.073067326973742,0.0,1.4188064651749026,0.1559554473047859,2.6807941499832437
radiotherapy_Yes,-0.25084462423143555,0.778143266774749,0.11229119229302797,-0.4709313169068321,-0.030757931556039037,0.6244204640675441,0.9697102809259945,0.0,-2.2338762204683635,0.025491218604092564,5.293855846934099
